Ticker,Name,Sector,Asset Class,Market Value,Weight,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","988,555,988.64","6.32","988,555,988.64","3,947,592.00","250.42","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","866,743,918.30","5.54","866,743,918.30","6,454,270.00","134.29","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","864,547,501.50","5.53","864,547,501.50","2,051,121.00","421.50","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","567,940,158.36","3.63","567,940,158.36","2,588,724.00","219.39","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","353,827,791.57","2.26","353,827,791.57","604,307.00","585.51","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","309,553,052.16","1.98","309,553,052.16","766,524.00","403.84","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","306,880,476.90","1.96","306,880,476.90","1,621,133.00","189.30","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","290,749,384.80","1.86","290,749,384.80","1,254,095.00","231.84","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","254,877,849.72","1.63","254,877,849.72","1,338,363.00","190.44","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","228,824,809.60","1.46","228,824,809.60","504,820.00","453.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","185,737,375.82","1.19","185,737,375.82","774,842.00","239.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","170,454,512.00","1.09","170,454,512.00","220,796.00","772.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","137,329,493.28","0.88","137,329,493.28","434,532.00","316.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","133,144,767.50","0.85","133,144,767.50","1,237,750.00","107.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","128,304,306.96","0.82","128,304,306.96","253,636.00","505.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","118,424,013.29","0.76","118,424,013.29","224,897.00","526.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","112,034,165.44","0.72","112,034,165.44","122,272.00","916.27","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","109,101,087.55","0.70","109,101,087.55","650,767.00","167.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","108,150,124.55","0.69","108,150,124.55","1,197,013.00","90.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","106,412,493.39","0.68","106,412,493.39","273,561.00","388.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","105,180,216.60","0.67","105,180,216.60","118,005.00","891.32","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","96,216,119.86","0.62","96,216,119.86","665,303.00","144.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","86,828,662.50","0.56","86,828,662.50","488,625.00","177.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","85,208,681.12","0.54","85,208,681.12","254,864.00","334.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","80,712,504.90","0.52","80,712,504.90","1,836,462.00","43.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","72,195,113.60","0.46","72,195,113.60","433,240.00","166.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","69,583,673.52","0.44","69,583,673.52","699,474.00","99.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","68,838,975.84","0.44","68,838,975.84","475,276.00","144.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","66,675,105.64","0.43","66,675,105.64","1,070,914.00","62.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","65,167,300.80","0.42","65,167,300.80","1,100,799.00","59.20","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","64,541,499.04","0.41","64,541,499.04","918,871.00","70.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","60,908,568.81","0.39","60,908,568.81","173,139.00","351.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","60,065,339.08","0.38","60,065,339.08","56,659.00","1,060.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","57,606,361.02","0.37","57,606,361.02","198,718.00","289.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","57,536,462.80","0.37","57,536,462.80","378,380.00","152.06","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","55,765,416.20","0.36","55,765,416.20","500,812.00","111.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","55,617,869.32","0.36","55,617,869.32","253,004.00","219.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","55,526,108.75","0.35","55,526,108.75","132,625.00","418.67","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","54,823,918.32","0.35","54,823,918.32","105,384.00","520.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","54,414,157.56","0.35","54,414,157.56","122,367.00","444.68","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","54,003,012.18","0.35","54,003,012.18","477,438.00","113.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","53,669,895.96","0.34","53,669,895.96","444,324.00","120.79","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","51,571,780.25","0.33","51,571,780.25","428,515.00","120.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","50,866,045.92","0.33","50,866,045.92","97,452.00","521.96","United States","NASDAQ","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","49,509,276.44","0.32","49,509,276.44","296,836.00","166.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","48,933,784.68","0.31","48,933,784.68","134,893.00","362.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","48,460,257.98","0.31","48,460,257.98","84,629.00","572.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","47,383,872.00","0.30","47,383,872.00","75,392.00","628.50","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","47,314,806.38","0.30","47,314,806.38","307,999.00","153.62","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","46,986,443.31","0.30","46,986,443.31","250,581.00","187.51","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","46,392,838.89","0.30","46,392,838.89","1,160,111.00","39.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","45,987,907.29","0.29","45,987,907.29","154,951.00","296.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","45,366,643.02","0.29","45,366,643.02","9,131.00","4,968.42","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","44,990,400.51","0.29","44,990,400.51","1,975,863.00","22.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","42,998,416.11","0.27","42,998,416.11","86,337.00","498.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","42,455,006.44","0.27","42,455,006.44","366,877.00","115.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","42,016,397.76","0.27","42,016,397.76","555,552.00","75.63","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","41,620,491.11","0.27","41,620,491.11","40,601.00","1,025.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","41,508,121.69","0.27","41,508,121.69","1,564,573.00","26.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
